sequenceIndex,key,timestamp
143,7,1731976395647.5
143,2,1731976396151.5
143,3,1731976396359.5
144,1,1731976397295.5
144,0,1731976397551.5
144,4,1731976398279.5
144,0,1731976398663.5
144,8,1731976399071.5
145,2,1731976400055.5
145,0,1731976400279.5
145,6,1731976400599.5
145,7,1731976401190.5
145,5,1731976401431.5
146,4,1731976402487.5
146,3,1731976402759.5
146,5,1731976403031.5
146,6,1731976403598.5
146,9,1731976403822.5
147,6,1731976405078.5
147,5,1731976405334.5
147,9,1731976405566.5
147,1,1731976406079.5
147,7,1731976406334.5
148,1,1731976407262.5
148,0,1731976407495.5
148,2,1731976408318.5
148,4,1731976408694.5
148,8,1731976408870.5
149,9,1731976409902.5
149,8,1731976410110.5
149,2,1731976410478.5
149,4,1731976411047.5
149,7,1731976411271.5
150,6,1731976412471.5
150,7,1731976412887.5
150,1,1731976413199.5
150,7,1731976413655.5
150,6,1731976414007.5
151,3,1731976415007.5
151,9,1731976415311.5
151,5,1731976415583.5
151,9,1731976416135.5
151,8,1731976416359.5
152,6,1731976417327.5
152,1,1731976417583.5
152,6,1731976417839.5
152,3,1731976418183.5
152,9,1731976418447.5
153,1,1731976419479.5
153,5,1731976419743.5
153,4,1731976420023.5
153,0,1731976420407.5
153,8,1731976420767.5
154,3,1731976421687.5
154,8,1731976421998.5
154,9,1731976422247.5
154,2,1731976422622.5
154,1,1731976422862.5
155,2,1731976423695.5
155,1,1731976423958.5
155,2,1731976424222.5
155,5,1731976424598.5
155,7,1731976424878.5
156,5,1731976425918.5
156,1,1731976426182.5
156,5,1731976426414.5
156,9,1731976426774.5
156,4,1731976427086.5
157,9,1731976428118.5
157,6,1731976428462.5
157,2,1731976428742.5
157,5,1731976429118.5
157,0,1731976429359.5
158,8,1731976430422.5
158,0,1731976430766.5
158,9,1731976431062.5
158,8,1731976431958.5
158,6,1731976432214.5
159,3,1731976433470.5
159,7,1731976433782.5
159,0,1731976434126.5
159,5,1731976434478.5
159,4,1731976434798.5
160,0,1731976435910.5
160,3,1731976436166.5
160,9,1731976436470.5
160,0,1731976437094.5
160,7,1731976437406.5
161,8,1731976438582.5
161,3,1731976438982.5
161,6,1731976439302.5
161,8,1731976440022.5
161,5,1731976440254.5
162,1,1731976441214.5
162,7,1731976441502.5
162,1,1731976441814.5
162,0,1731976442142.5
162,3,1731976442414.5
163,6,1731976443590.5
163,3,1731976443830.5
163,2,1731976444110.5
163,9,1731976444838.5
163,8,1731976445030.5
164,0,1731976446278.5
164,8,1731976446614.5
164,5,1731976447166.5
164,0,1731976447534.5
164,7,1731976447862.5
165,9,1731976448830.5
165,0,1731976449110.5
165,9,1731976449422.5
165,2,1731976449774.5
165,5,1731976450030.5
166,4,1731976451166.5
166,6,1731976451406.5
166,0,1731976451678.5
166,4,1731976452254.5
166,2,1731976452494.5
167,6,1731976454086.5
167,7,1731976454334.5
167,9,1731976454534.5
167,4,1731976455182.5
167,9,1731976455414.5
168,4,1731976456542.5
168,5,1731976456750.5
168,8,1731976457054.5
168,4,1731976457814.5
168,7,1731976458189.5
169,0,1731976459205.5
169,1,1731976459493.5
169,4,1731976459717.5
169,1,1731976460197.5
169,5,1731976460437.5
170,3,1731976461349.5
170,7,1731976461757.5
170,3,1731976462029.5
170,8,1731976462717.5
170,5,1731976462949.5
